,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Hwy_Nbr,Hwy_Nbr_2,Hwy_Sys,Hwy_Sys_2,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Local_Use,Located_Fl,Located_Fl_01,Longitude,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Latitude,Rpt_Longitude,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Nbr,Rpt_Ref_Mark_Offset_Amt,Rpt_Sec_Block_Num,Rpt_Sec_Hwy_Num,Rpt_Sec_Street_Desc,Rpt_Sec_Street_Name,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Sfx,Rpt_Street_Desc,Rpt_Street_Name,Rpt_Street_Pfx,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Street_Name,Street_Name_2,Street_Nbr,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
2053,N,0,N,0,N,0,N,0,2013-05-28 13:44:00,5/28/2013,N,0,13302696,20,1:44 PM,TUE,0,,,,,0,3:14 PM,Y,1,POLICE RADIO,3:07 PM,,,N,0,,N,0,1,0,TX1520200,N,0,0,Y,1,5/28/2013,N,0,N,0,5280,,,,N,0,,,,,3400,,,SLIDE,,RD,,34TH,,ST,N,0,N,0,N,0,34TH ST,,,N,0,N,0,0,N,0,0
2201,N,0,N,0,N,0,N,0,2013-06-02 22:21:00,6/2/2013,N,0,13318435,60,10:21 PM,SUN,0,,,,,0,10:25 PM,Y,1,DISPATCHED,10:21 PM,,,N,0,,N,0,2,0,TX0570200,Y,1,0,N,0,6/13/2013,N,0,N,0,3000,635,,,N,0,,,,,,,EXIT RAMP TO ELAM,ELAM,,RD,,NOT REPORTED,,,N,0,N,0,N,0,US0635,,,Y,1,N,0,0,Y,1,0
2219,N,0,N,0,N,0,N,0,2013-05-23 20:47:00,5/23/2013,N,0,13320569,40,8:47 PM,THU,0,,,,,0,8:54 PM,Y,1,DISPATCHED,8:48 PM,,,N,0,,N,0,1,0,TX1012500,N,0,0,N,0,5/23/2013,N,0,N,0,400,,,,N,0,,,,,600,,,NASA,E,PKWY,,E NASA BYPASS N FR,,,N,0,N,0,N,0,E NASA BYPASS N FR,,,Y,1,N,0,0,Y,1,0
2296,N,0,N,0,N,0,N,0,2013-06-04 20:00:00,6/4/2013,N,0,13332018,0,8:00 PM,TUE,0,,,,,0,8:32 PM,N,0,DISPATCHER,8:29 PM,,,N,0,,N,0,0,0,TX1010600,N,0,0,Y,1,6/4/2013,N,0,N,0,2010,,,,N,0,,,,,100,,,CENTER,,ST,,CLINTON,,DR,N,0,N,0,N,0,CLINTON DR,,,N,0,N,0,0,N,0,1
2466,N,0,N,0,N,0,N,0,2013-06-27 17:56:00,6/27/2013,N,0,13347823,15,5:56 PM,THU,0,,,,,0,6:01 PM,Y,1,POLICE RADIO,5:59 PM,,,N,0,,N,0,1,0,TX1520200,N,0,0,Y,1,6/27/2013,N,0,N,0,7300,,,,N,0,,,,,,,UNIVERSITY AVE,UNIVERSITY,,AVE,,UNIVERSITY,,AVE,N,0,N,0,N,0,UNIVERSITY AVE,,,Y,1,N,0,0,N,0,0
2483,N,0,N,0,N,0,Y,1,2013-07-01 09:41:00,7/1/2013,N,0,13348934,75,9:41 AM,MON,0,67,,SH,,0,11:39 AM,Y,1,DISPATCH,9:45 AM,,,N,0,,N,0,1,0,TX2310000,Y,1,0,N,0,7/1/2013,N,0,N,0,,67,,,Y,1,,,,,,756,,NOT REPORTED,,,,NOT REPORTED,,,N,0,Y,1,N,0,SH0067,,,Y,1,N,0,0,Y,1,0
2507,N,0,N,0,N,0,N,0,2013-07-04 08:24:00,7/4/2013,N,0,13351831,-1,8:24 AM,THU,0,,,,,0,8:28 AM,Y,1,DISPATCHED,8:28 AM,,,N,0,,N,0,0,0,TX0610200,N,0,0,Y,1,7/4/2013,N,0,N,0,1721,,,,N,0,,,,,600,,,LONDONDERRY,,LN,,TEASLEY,,LN,N,0,N,0,N,0,TEASLEY LN,,,Y,1,N,0,0,N,0,1
2546,N,0,N,0,N,0,Y,1,2013-06-10 12:05:00,6/10/2013,N,0,13355027,40,12:05 PM,MON,0,,,,,0,12:18 PM,Y,1,DISPATCHED,12:06 PM,,,N,0,,N,0,1,1,TX0710200,N,0,0,N,0,6/10/2013,N,0,N,0,5500,,,,N,0,,,,,5500,,,MARSHALL,,RD,,MARSHALL,,RD,N,0,N,0,N,0,MARSHALL RD,,,Y,1,N,0,1,Y,1,0
2608,N,0,N,0,N,0,N,0,2013-06-29 12:04:00,6/29/2013,N,0,13361450,15,12:04 PM,SAT,0,,,,,0,12:12 PM,Y,1,DISPATCHED,12:04 PM,,,N,0,,N,0,1,0,TX0840800,N,0,0,Y,1,6/29/2013,N,0,N,0,515,,,,N,0,,,,,,,,3RD,,ST,,MAIN,E,ST,N,0,N,0,N,0,E MAIN ST,,,N,0,N,0,0,N,0,0
2620,N,0,N,0,N,0,N,0,2013-07-13 12:55:00,7/13/2013,N,0,13362830,20,12:55 PM,SAT,0,,,,,0,1:13 PM,Y,1,DISPATCHED,1:05 PM,29.70342302,,Y,1,-95.4111247,N,0,0,0,TXHPD0000,N,0,1,N,0,7/13/2013,N,0,N,0,2200,,,,N,0,,,,,,,,GREENBRIAR,,,,MARONEAL,,,N,0,N,0,N,0,MARONEAL ST,,2264.0,Y,1,N,0,1,Y,1,0
